ids_subjs_table
AFR
ALS
ALV
AMB
AMG
AOE
APS
AR
ARZ
BAU
BB
BC
CAI
CGCM
CL
CRH
DAR
DBI
DLL
DNK
DRE
FLO
FNL
GAG
GKL
GPRS
IJB
ISC
ISM
JCG
JD
JLA
JLM
LC
LLMB
LM
LTD
MAI
MG
MJE
ML
MM2
MSA
MVA
NLA
NP
PBR
PEB
PMC
SAR
SMO
TIS
VIT
YBY
fac
mac
mar
